Strain,Cultivator,Split,DT1,DT2,DT3,DT4,DT5,QR,Ailments,BestFor,Effects,Smell,Taste,Lineage
CresOBx1,,80/20 I,β-Myrcene,Limonene,Pinene,,,,"CresOBx1 may be beneficial for those dealing with symptoms of stress, anxiety, and minor pain relief, promoting both mental clarity and physical relaxation.","Introducing CresOBx1—a standout in our lineup, designed for the true connoisseur. This strain blends earthy and citrus aromas with a smooth pine finish, delivering a balanced experience that uplifts and soothes. Whether you're looking to ease into a creative flow or wind down, CresOBx1 is crafted to elevate your day with its full-bodied flavor and therapeutic potential. Discover the next level of Crescendo's legacy with CresOBx1 and enjoy premium relaxation tailored for you.","Users can expect a balanced high, featuring an uplifting cerebral buzz coupled with a relaxing body sensation, suitable for both daytime and evening use.","Offers a rich aroma profile, blending earthy notes with hints of citrus and pine, creating a refreshing and invigorating scent.","A harmonious mix of earthy and citrus flavors, complemented by subtle pine undertones, providing a smooth and enjoyable smoking experience.",Crescendo #11 x Crescendo #11 
Critical,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,β-Pinene,https://bit.ly/4hcavL3,,,,,,
Critical,,50/50 H,β-Myrcene,Limonene,β-Caryophyllene,α-Humulene,β-Pinene,,"Stress, Anxiety, Pain relief, Insomnia","If you're looking for a potent strain, then look no further than Critical! This strain packs a punch with its high THC content, making it perfect for experienced users. Its effects are known to be uplifting and creative, making it a great strain to use during the day when you need to get things done. It also has a pleasant earthy flavor that's sure to satisfy your taste buds.","Relaxation, Euphoria, Happiness, Uplifted, Sleepiness","Earthy, Citrusy, Piney, Herbal","Citrusy, Earthy, Piney, Spicy",Skunk x Big Buds
CRUNCH BERRY,Leafology,Indica,β-Caryophyllene,β-Myrcene,Limonene,,,,"Stress, Soreness, & Appetite Stimulation",,"Clarity, Sedative, Relaxing, & Euphoric","Sweet Berries, Creamy Vanilla, Earthy",,
DA FUNK,Leafology,Indica,Limonene,α-Humulene,Linalool,,,,"Insomnia, Pain, Anxiety, & Muscle Spasms",,"Tingly, Euphoric, Relaxing, Uplifting","Sweet Sugary, Citrus, Floral, Skunky",,
DAILY GRAPE,Leafology,Hybrid,β-Caryophyllene,Limonene,α-Humulene,,,,"Anxiety, Inflammation, Depression, Stress",,"Euphoric, Relaxing, Focused, Energetic","Sweet Grapes, Earthy Diesel, Citrus Zest",,
DEATH SENTENCE,Leafology,Indica,Limonene,β-Myrcene,α-Humulene,,,,"Stress, Pain, Insomnia, & Mood Swings",,"Euphoria, Relaxation, Creativity, Hunger","Citrus, Diesel, Fruity, Earthy",,
DEATHSTAR,Leafology,Indica,Limonene,β-Myrcene,β-Caryophyllene,,,,"Pain, Stress, Insomnia, Appetite Stimulation",,"Sleepy, Focused, Relaxing, Euphoric","Diesel, Earthy, Sweet, Spicy Pine, Citrus",,
Desert Lime,Carpenter Farms,,Terpinolene,β-Myrcene,β-Pinene,cis-β-Ocimene,Guaiol,https://drive.google.com/file/d/1ipdq5PDVJ14oIwLpRi987jZ0PWj_JcQu/view,,,,,,
Desert Lime,Carpenter Farms,,Terpinolene,Limonene,β-Myrcene,β-Caryophyllene,cis-β-Ocimene,https://drive.google.com/file/d/1RMi0dJeGOifnZmVx9A5n8aDSu9EKXmAg/view?usp=drive_link,,,,,,
DEVIL MINTZ,Leafology,Sativa,Limonene,β-Myrcene,Pinene,,,,"Stress, Depression, Appetite Stimulation",,"Euphoric, Creative, Relaxing, Social","Sweet Mints, Fruit Berries, Earthy, Vanilla",,
DIAMOND ROCKZ,Leafology,Hybrid,β-Caryophyllene,α-Humulene,Limonene,,,https://drive.google.com/file/d/1TEwCB2uEw1gq8AVDZrD9YOTdZh3eczOw/view,"Appetite Stimulation, Insomnia, Pain, Stress",,"Euphoric, Relaxing, Calming, Sedative","Minty Freshness, Vanilla, Earthy, Diesel",,
Dirty Red,Carpenter Farms,,β-Myrcene,Terpinolene,β-Pinene,β-Caryophyllene,cis-β-Ocimene,https://drive.google.com/file/d/1TEwCB2uEw1gq8AVDZrD9YOTdZh3eczOw/view,,,,,,
DISCO TIGER,Leafology,Indica,β-Myrcene,Limonene,Linalool,,,https://drive.google.com/file/d/1TEwCB2uEw1gq8AVDZrD9YOTdZh3eczOw/view,"Insomnia, Pain, Stress, Cramps, & Depression",,"Relaxing, Sedative, Tingly, Uplifting","Sweet Grape, Fruity Candy, Earthy, Flora",,
Divinity Remix,,85/15 H,β-Myrcene,Limonene,Linalool,β-Caryophyllene,,https://drive.google.com/file/d/1XChZWc2W7x5pvOuh8gHAGmNclgwZseOj/view?usp=drive_link,"Pain Relief, Sleep Aid","Experience a divine blend of flavors with Divinity Remix! This strain is like a delectable cocktail that'll tantalize your taste buds. Its aroma combines sweet and fruity notes, creating an irresistible fragrance. Divinity Remix brings a sense of happiness and euphoria, making it the perfect choice for uplifting your mood and enjoying social gatherings. So raise your glass, take a sip, and let Divinity Remix take you on a delightful journey of flavors and fun.","Uplifted, Energetic, Happy, Creative, Focused","Floral, Sweet, Earthy, Herbal",Berries; Spicy yet sweet; Earthy; Vanilla; Floral Notes,Divine Gelato #3 x OG Kush Breath V2.1
Dogtown,Natural State Medicinals,,Terpinolene,cis-β-Ocimene,β-Pinene,,,,,,,,,
Dogtown,,80/20 I,Pinene,Limonene,β-Caryophyllene,,,,"Chronic pain, Muscle spasms, Inflammation, Depression","Unleash your inner adventurer with Dogtown! This strain is like a wild expedition that'll excite your senses and ignite your curiosity. Its pungent and skunky aroma adds an element of intrigue, while its vibrant green buds are a sight to behold. Dogtown brings a sense of energy and creativity, making it the perfect companion for outdoor activities or artistic pursuits. So grab your gear, embrace the spirit of adventure, and let Dogtown be your guide to unforgettable experiences.","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Earthy, Piney, Pungent, Woody","Earthy, Piney, Woody, Spicy",Skywalker OG x Rare Dankness #1
Double Stack,Bold,Hybrid,Limonene,β-Caryophyllene,Linalool,,,,,"Combining two genetics sought after for both their potency and terpene profiles, Double Stack by Compound Genetics is sure to please even the most jaded connoisseur. Heavy gas and diesel tones from the Jet Fuel mix with the sweet funky nose of the Apple Fritter to create a real taste sensation!",,,,
Double Stuffed Sorbet,Osage Creek,30-70,Linalool,Limonene,β-Caryophyllene,,,,"Anxiety, Pain Management, Stress Relief, Insomnia","This bud has a classic sweet cookie flavor with hints of sugary fruits and fresh berries. The aroma is very similar, with a lightly sweet berry cookie smell that quickly turns spicy and pungent.","Uplifted, Relaxation, Sleepy","Floral, Citrus, Spice",,
Dosidos,River Valley Relief,,β-Myrcene,Limonene,β-Caryophyllene,Linalool,β-Pinene,https://rivervalleyrelief.com/flower/dosidos/,,,,,,
Dumb Gas,Osage Creek,20-80,α-Humulene,Limonene,β-Caryophyllene,,,,"Full-Body Relaxation, Evening Relaxation, Stress Relief",Limited Release: Please note that Dumb Gas is a limited release strain and may have limited availability.,"Tranquility, Relaxation, Happy","Earthy, Citrus, Gas",,
Durban Poison,Bold,Sativa Hyrbrid,Terpinolene,β-Myrcene,β-Pinene,,,,,Durban Poison is a true classic in the world of cannabis genetics. This long-standing sativa was first found and stabilized in and around Durban South Africa. “Durban” soon spread throughout the cannabis world via the Netherlands and onto the Americas. This true landrace sativa features a unique terpene profile that is only found in true Durban.,,,,
EARLY LEMON BERRY RBX,Leafology,Hybrid,Limonene,Pinene,Terpinolene,,,,"Stress, Depression, Fatigue, Social Settings, Creativity",,"Euphoric, Energetic, Relaxing, Creative","Zesty Lemon, Sweet Berries, Earthy",,
Ecto Cooler,Bold,Sativa Hyrbrid,β-Myrcene,Limonene,β-Caryophyllene,,,,,"Ecto-Cooler is a sativa-dominant cross of a unique East Coast Panama Chunk female to the classic Chem 91. A large yielder, with dense, trichome covered colas. Very pink and purple hues came be seen with a proper flush. Comes from GreenDream in Boulder Colorado and is not widely available commercially.",,,,
EDEN’S APPLE,Leafology,Hybrid,Limonene,β-Myrcene,α-Humulene,,,,"Anxiety, Inflammation, Creativity, Social Settings",,"Euphoric, Relaxing, Balanced, Focused","Sugary, Tart Apples, Lemony Citrus",,
Eggroll x Grape Gas,Good Day Farms,,Limonene,Linalool,β-Caryophyllene,β-Myrcene,cis-β-Ocimene,https://sh-ar.qbench.net/pr/3ebc6f123e2be5a,,,,,,
Eleven Roses,Osage Creek,0-100,α-Humulene,Limonene,β-Caryophyllene,α-Pinene,β-Pinene,https://sh-ar.qbench.net/pr/140afdfffcc5fcf,"Evening Relaxation, Stress Relief, Therapeutic Use",Eleven Roses is a heavy indica dominant strain that produces an intense and long lasting body high. It is an ideal strain for lounging around at home.,"Tranquility, Relaxation, Uplifted","Earthy, Citrus, Spice",,
End Game,Natural State Medicinals,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,cis-β-Ocimene,https://drive.google.com/file/d/1wLDVsoLV9FnwaiReB7Q3qIJFH8_UXDxR/view,,,,,,
End Game,,60/40 I,β-Myrcene,Terpinolene,β-Caryophyllene,,,,"Insomnia, Anxiety, Muscle tension, Nausea","Prepare for a grand finale with End Game! This strain is like a fireworks display that'll dazzle your senses and leave you in awe. Its aroma is a delightful blend of sweet and floral notes, creating an enchanting atmosphere. End Game brings a sense of relaxation and euphoria, making it the perfect choice for unwinding the day.","Euphoria, Focus, Uplifted, Energetic, Happy","Earthy, Woody, Pungent, Sweet","Sour cherries, gasoline, incense, grape and orange",End Game #3 (Cherry Punch x Ethos Cookies #16）x End Game #5 (Ethos Cookies #4 x Mandarin Sunset)
END GAME RBX,Leafology,Hybrid,Limonene,β-Myrcene,Linalool,,,,"Stress, Anxiety, Depression, Insomnia, Appetite Stimulation",,"Euphoric, Relaxing, Creative, Balanced","Sweet Cherries, Earthy Cookies, Citrus",,
Fabulozo,Osage Creek,50-50,β-Myrcene,β-Caryophyllene,Linalool,Limonene,,,"Mild Social Gathering, Creative Activities, Mental Clarity",Fabulozo's hybrid nature may appeal to those seeking a wellrounded cannabis experience that balances relaxation and mental stimulation.,"Relaxation, Balanced, Uplifted","Fruity, Gas, Floral, Citrus",,
Fire and ice,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Linalool,α-Pinene,α-Humulene,https://bit.ly/4haLH6w,,,,,,
Fire and Ice,,50/50 H,β-Myrcene,Terpinolene,α-Humulene,,,,"Insomnia, Stress, Anxiety, Mild pain, Muscle tension","Experience the mesmerizing allure of Fire and Ice, a captivating Indica born from the harmonious union of Ice Cream Cake, Grape Balls, and MAC Stomper. Delight in the soothing embrace of this strain, as it combines the relaxing effects of its parent strains to create a tranquil yet uplifting experience. Fire and Ice entices the senses with a delectable fusion of sweet and fruity flavors, accompanied by an aroma that hints at the delightful blend of grapes, cream, and a touch of earthiness.","Relaxing and Tranquil, Uplifting cerebral effects, Body-mind balance, Stress relief, Sleep aid","Sweet Grapes, Creamy, Subtle Earthiness","Sweet, Fruity, Creamy undertones",Ice Cream Cake x Grape Balls x MAC Stomper
Flozilla,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,Linalool,https://bit.ly/41fB0t5,,,,,,
Flo Zilla,,60/40 I,β-Myrcene,Limonene,β-Caryophyllene,,,,"Chronic pain, headaches, insomnia, stress","Get ready to experience the mighty Flo Zilla, a strain that combines the best of both worlds! Picture a superhero team-up between Grease Monkey and Florida Wedding, resulting in a powerhouse of flavor and relaxation. Flo Zilla's aroma fills the air with a delightful mix of sweet and earthy notes, making your senses tingle with excitement. It brings a sense of calm and happiness, perfect for unwinding after a long day or embarking on fun adventures with friends. So grab your cape, take a puff, and let Flo Zilla take you on a thrilling journey of relaxation and enjoyment!","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Earthy, Sweet, Herbal, Woody","Earthy, Sweet, Spicy, Woody",(GG4 x Wedding Cake) x (Triangle Kush x Wedding Cake)
French Toast,GDF,,Limonene,β-Caryophyllene,α-Humulene,β-Pinene,Linalool,https://qr.lcdg.io/M5u35xKDRAsAYiv6fkDg,,,,,,
Frozen Dessert,GDF,Indica,β-Caryophyllene,Limonene,Linalool,α-Humulene,α-Bisabolol,https://qr.lcdg.io/DppEgsFSM7ExX62dpd2Y,,,"Rest, Soothe, Relaxed, Soothed",,,
Fruit Cake,Carpenter Farms,,β-Caryophyllene,cis-β-Ocimene,β-Myrcene,α & β-Pinene,Sabinene,https://drive.google.com/file/d/1V1d5iHdap6PUBlHaSS4wA9Al7bdp6vZK/view,,,,,,
Funky Charms,Natural State Medicinals,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,Linalool,https://bit.ly/4jWylxl,,,,,,
Funky Charms,,60/40 I,β-Myrcene,Limonene,β-Caryophyllene,,,,"Chronic pain, Stress, Depression, Fatigue","Get ready to groove with Funky Charms! This strain is like a funky dance party for your senses. Its aroma fills the air with a delightful mix of sweet and earthy notes that'll make you want to move and groove. Funky Charms brings a sense of relaxation and happiness, making it the perfect choice for a fun and carefree experience. So put on your dancing shoes, take a toke, and let Funky Charms ignite your inner rhythm!","Uplifted, Happy, Energetic, Creative, Focused","Sweet, Fruity, Citrusy, Floral","Sweet, Fruity, Citrusy, Spicy",Grease Monkey x Rainbow Chip
G41 Cookies,Carpenter Farms,,β-Caryophyllene,α-Terpinolene,β-Myrcene,Phellandrene,Ocimene & 3-Carene,https://drive.google.com/file/d/1E3TKMlX8Vk0Tg3qxJGMVxSgR3Lm5eA8v/view?usp=drive_link,,,,,,
G-Baby 99,Osage Creek,,β-Caryophyllene,Limonene,β-Myrcene,,,,,,,,,
GARLIC CAKE,Leafology,Hybrid,Limonene,Cis-β-Ocimene,α-Pinene,,,,"Stress, Pain, Insomnia, Appetite Stimulation",,"Relaxing, Euphoric, Sedative, Tingly","Savory Garlic, Earthy, Herbal, Spicy Diesel",,
Gashcata,GDF,Hybrid,β-Myrcene,Limonene,Linalool,β-Caryophyllene,Cis-β-Ocimene,https://qr.lcdg.io/ZKCa5siRz3supjDwBdvj,,,"Unwind, Soothe, Calm, Creative, Relaxed","Sweet Grapes, Spices, Fuel, Sour Milk",,
Gasserole,Osage Creek,50-50,β-Myrcene,Limonene,β-Caryophyllene,,,https://sh-ar.qbench.net/pr/e426ed58e18753f (No Terps),"Pain Management, Relaxation, Mood Enhancement","Expect a balanced experience that brings relaxation and happiness, making it an ideal choice for stress relief and mood enhancement. Whether you need to manage pain or simply unwind, GASSEROLE is here to elevate your day.","Relaxation, Balanced, Uplifted","Earthy, Citrus, Gas",,
Gator Breath,,70/30 H,β-Caryophyllene,Limonene,β-Myrcene,,,,"Stress, Anxiety, Chronic pain, Lack of focus, Muscle tension","Immerse yourself in the primal allure of Gator Breath, a robust hybrid forged from the formidable combination of Motor Breath and Triangle Kush. Let the potent effects of this strain unleash a wave of relaxation and euphoria, creating a perfect balance for both mind and body. Gator Breath invites you to savor a distinctive flavor profile, where earthy undertones meet a hint of diesel, accompanied by an enticing aroma that captures the essence of its powerful lineage.","Relaxing and Euphoric, Body-mind balance, Stress relief, Calm focus, Creative inspiration","Earthy, Diesel, Subtle Kush undertones","Earthy, Diesel, Spicy finish",Motor Breath x Triangle Kush
Georgia Cry,Bold,Indica Hybrid,β-Caryophyllene,Limonene,α-Humulene,,,,,"Georgia Cry is a sweet and sedating union of Georgia Pie and Cali Sunset. Smelling of grape soda, citrus fruit, and blueberry muffins, Georgia Cry is quickly gaining fame for its taste and bag appeal. This indica dominant hybrid is a great example of the new school of genetics coming out of California.",,,,
GG4,Bold,Indica Dominant Hybrid,β-Caryophyllene,Limonene,β-Myrcene,,,,,"GG4 has truly taken the US cannabis world by storm. This California creation was spread widely after phenotyping and stabilizing the genetic was completed. This hybrid cross of Chocolate Diesel and Chem Sister created a large yielding diesel style cultivar with pest resistance galore There is no wonder why the large yields and heavy tones of pine, skunk, and tar create a unique and highly sought after cultivar.",,,,
GHOST OG,Leafology,Indica,β-Myrcene,Limonene,β-Caryophyllene,,,,"Stress, Pain, Insomnia, Appetite Stimulation",,"Relaxing, Euphoric, Sleepy, Tingly","Citrus, Pine, Earthy, Herbal, Diesel",,
Glass Slipper,Bold,Sativa Hyrbrid,Limonene,β-Myrcene,β-Caryophyllene,,,,,"A cross between Cinderella 99 and Pineapple 99, Glass Slipper is a sativa dominant hybrid described to have a sweet, somewhat fruity terpene profile. A classic sativa hybrid, the old school Cindy 99 by Brothers Grimm has been a staple of the commercial and medicinal scenes for many years. Expect hints of grapefruit and a sweet, creamy finish on the nose when opening the jar",,,,
GLAZED APRICOT,Leafology,Indica,Limonene,β-Myrcene,Linalool,,,,"Stress, Pain, Creative, Social Gatherings",,"Euphoric, Relaxing, Tingly, Mellow","Sweet Apricot, Citrusy Orange, Vanilla",,
Glitter Bomb,River Valley Relief,Indica Hybrid,β-Myrcene,β-Caryophyllene,Linalool,cis-β-Ocimene,α-Humulene,https://rvr.care/GBBCF,,,,River Valley Relief,,
Glitter Bomb,Bold,Indica Hybrid,β-Caryophyllene,Linalool,β-Myrcene,,,,,Another Compound Genetics creation that has made its way into the TICAL genetic stable Glitter Bomb is an interesting cross of an OGKB B. Headband mother and Compound’s flagship Grape Gas #10. Glitter Bomb packs on the new school taste and jar appeal. Expect dense buds and grape flavors!,,,,
GLITTER BOMB,Leafology,Hybrid,β-Myrcene,β-Caryophyllene,α-Humulene,,,,"Pain, Depression, Appetite Stimulation, Social Gatherings",,"Euphoric, Relaxing, Creative, Tingly","Sweet Berries, Grapey Gas, Earthy, Herbal",,
Glue Ball,Bold,Indica Hybrid,β-Myrcene,Limonene,β-Caryophyllene,,,,,Glue Ball brings a solid mix of old school and new school to Arkansas. Original Glue x Snowball cross should be equally uplifting as it is relaxing and just as manageable as it is potent. This GG4 based genetic exhibits the same sticky sweet nose but packs a more indica style effect that leaves one wanting more.,,,,
GMO Cookies,Carpenter Farms,,β-Myrcene,β-Pinene,α-Phellandrene,α-Terpinene,3-Carene & cis-β-Ocimene,https://drive.google.com/file/d/1EDC8wzCwKc5VHpf6WfO_dpeZNm8h_fJ0/view?usp=drive_link,,,,Carpenter Farms,,
GMO PIE,Leafology,Indica,β-Caryophyllene,Limonene,α-Humulene,,,,"Stress, Pain, Insomnia, Appetite, Stimulation",,"Euphoric, Relaxing, Sedative, Tingly","Savory Garlic, Sweet Peach, Herbal, Earthy",,
GMO Zkittlez,,80/40 I,Terpinolene,β-Caryophyllene,,,,,"Insomnia, Anxiety, Pain","Alchemy cultivar from the team at Ethos Genetics, GMO Zkittlez is a cross of GMO Cookies and (Zkittlez x OG Kush). This strain offers an intense heavy high that’s perfect for late night sessions when your bed or a comfy couch is close by. Delicious diesel and candy terps will make their way into your dreams.","Sleepy, Tingly, Relaxed","Tea, Diesel, Pepper",Petrol; Sage; Citrus; Mint; Chocolate; Vanilla.,GMO Cookies x (Zkittlez x OZ Kush)
Grand Daddy Purple,Osage Creek,,β-Myrcene,β-Caryophyllene,Limonene,Guaiol,α-Humulene,https://sh-ar.qbench.net/pr/a6f23e56ab47a09,,,,,,
Grand Daddy Purple,Bold,Indica Hybrid,β-Myrcene,Limonene,β-Caryophyllene,,,,,"Grandaddy Purp is the best known, most sought after and very well loved “Purple” strain in the US, and for good reason. This strain is known for both its body and head highs. Most patients report feeling less pain, sleepy, appetite loss, and stress relief.",,,,
Grandi Guava,Revolution,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,Linalool,https://fastlabs.qbench.net/pr/1f7aa68e98712f3,,,,Revolution,,
Grandpa's Breath,Osage Creek,30-70,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,Linalool,https://sh-ar.qbench.net/pr/511d9e80412a52d,"Evening Relaxation, Stress Relief, Pain Management","Due to its potency, Grandpa's Breath may be overwhelming for novice users or those with a low THC tolerance.","Happy, Relaxation, Comfort","Herbal, Spice, Citrus",,
Grandpa's Cookies,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,Linalool,https://bit.ly/41p6rBj,,,,Natural State Medicinals,,
Grandpa's Cookies,,80/20 I,β-Caryophyllene,Limonene,β-Myrcene,,,,"Insomnia, Lack of appetite, Nausea, Chronic pain","Step into the warmth of nostalgia with Grandpa's Cookies! This strain is like a batch of freshly baked cookies straight from your grandpa's kitchen. Its aroma fills the air with a sweet and comforting scent that'll transport you back to cherished memories. Grandpa's Cookies brings a sense of relaxation and bliss, enveloping you in a cozy embrace. So take a moment to savor the flavors of Grandpa's Cookies and let it whisk you away to a place of pure happiness.","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Sweet, Doughy, Earthy, Nutty","Sweet, Doughy, Nutty, Spicy",Grandpa's Stache x Cookies
GRANDPA’S COOKIES,Leafology,Hybrid,β-Myrcene,Limonene,Pinene,,,,"Stress, Pain, Insomnia, Appetite Stimulation",,"Euphoric, Relaxing, Sedative, Creative","Sweet, Nutty, Herbal, Earthy, Spicy, Floral",,
GRANDPA’S STASH,Leafology,Hybrid,β-Myrcene,β-Caryophyllene,Pinene,,,,"Anxiety, Inflammation, Insomnia, Chronic Pain",,"Euphoric, Relaxing, Nostalgic, Mellow","Skunky, Earthy, Herbal, Diesel, Spicy",,
Grape Diamonds,,50/50 H,β-Myrcene,β-Caryophyllene,,,,,Chronic stress; Depression; Mood swings; Chronic fatigue; Nausea; Appetite loss,"Grape Diamonds is a flavorful strain with a sweet grape aroma and taste. Its effects are known to be relaxing and uplifting, making it perfect for both daytime and nighttime use. If you're looking for a strain to help you unwind after a long day or to relieve stress and anxiety, Grape Diamonds is a great option to consider.","Relaxation, Euphoria, Happiness, Uplifted, Sleepiness","Grape, Sweet, Berry, Earthy",Fresh grape; Sour citrus & grapefruit; Skunky overtones,Pink Grapefruit x Member Berry
Grape Pupil,,60/40 H,β-Myrcene,Pinene,α-Humulene,,,,"Stress, Anxiety, Mild pain, Lack of appetite, Sleep disturbances","Indulge in the captivating allure of Grape Pupil, a unique strain crafted from the enchanting fusion of Putang and Star Pupil. Let the tranquil effects of this strain wash over you, creating a perfect balance of relaxation and upliftment. Grape Pupil entices with a delightful combination of sweet and fruity flavors, reminiscent of ripe grapes, and an aroma that whispers of its luscious lineage, making it a delightful choice for those seeking a soothing and flavorful experience.","Relaxing and Uplifting, Balanced hybrid effects, Stress relief, Mood enhancement, Creative inspiration","Sweet Grapes, Fruity, Subtle Earthiness","Sweet, Fruity, Grape undertones",Putang x Star Pupil 
Grease Monkey,Natural State Medicinals,,Limonene,β-Caryophyllene,β-Myrcene,β-Pinene,α-Humulene,https://bit.ly/3Z094IU,,,,,,
Grease Monkey,,80/20 I,Limonene,β-Caryophyllene,,,,,Chronic pain; Appetite loss; Nausea; Insomnia; headaches & Migraines.,"Get ready for a wild ride with Grease Monkey! This strain is like a turbocharged engine that'll rev up your senses. Its aroma combines earthy and diesel notes, creating an intoxicating fragrance that'll leave you craving for more. Grease Monkey brings a sense of relaxation and euphoria, making it the perfect choice for letting go of stress and embracing a carefree attitude. So buckle up, take a hit, and let Grease Monkey take you on an exhilarating journey.","Euphoria, Happy, Uplifted, Relaxed, Creative","Earthy, Diesel, Pungent, Sweet",Nutty vanilla; Sweet skunky petrol. Aroma is the same with more earthy notes.,Gorilla Glue #4 x Cookies & Cream
Great Balls of Fire,,50/50 H,β-Caryophyllene,β-Myrcene,Limonene,,,,"May assist in alleviating symptoms of stress, anxiety, and mild pain, offering both mental and physical relief.","gnite your senses with Great Balls of Fire, a dynamic strain that offers a perfect harmony of spicy and sweet flavors. Its vibrant buds and invigorating effects make it an excellent choice for those seeking both mental stimulation and physical relaxation. Experience the warmth and intensity of Great Balls of Fire today.","Users can anticipate an invigorating cerebral high accompanied by a warm, soothing body relaxation, making it suitable for both social and introspective settings.","Bold aroma of spicy pepper intertwined with sweet, fruity undertones, creating a stimulating olfactory experience.","Great Balls of Fire delivers a dynamic blend of spicy heat and sweet fruitiness, leaving a memorable, lingering taste.",Dosido Pan Dulce x Bubble Tea
Green Crack,Bold,Sativa Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,,"Green Crack (aka Cush) brings a classic sativa hybrid to the patients of Arkansas. This old school cross of Skunk #1 and Afghani genetics should be equally uplifting as it is relaxing and just as manageable as it is potent. The structure of this strain is nothing short of breathtaking with almost every plant displaying long spears of bright lime green buds and heavy trichome coverage. Great for day-time activities and clear headed, focused work situations.",,,,
Goldust,,50/50 H,Limonene,β-Caryophyllene,Pinene,,,,"Stress, Anxiety, Mild pain, Lack of focus, Mood swings","Embark on a journey with Goldust, a perfectly balanced hybrid created from the equal partnership of Rainbow Runtz and Scotty 2 Hotty. Bask in the harmonious effects that seamlessly blend the uplifting euphoria with a gentle, soothing relaxation. Goldust tantalizes the taste buds with a delightful combination of fruity sweetness, offering a symphony of flavors that dances between the vibrant notes of the rainbow and the subtle touch of earthiness from its lineage.","Uplifting and Euphoric, Relaxing body high, Balanced hybrid effects, Stress relief, Creative stimulation","Fruity, Sweet, Subtle Earthiness","Sweet, Fruity, Hint of Earthiness",Rainbow Runtz x Scotty 2 Hotty
Golden Goat,Bold,Sativa Dominant Hybrid,Terpinolene,β-Caryophyllene,Cis-β-Ocimene,,,,,"Golden Goat needs no introduction. A classic sativa from the Denver medical market this uplifting plant packs a punch. Crossing the old Romulan sativa with an Island Sweet Skunk in Topeka Kansas, this globe trotting genetic will leave users satisfied with its sweet candy nose and piney citrus flavor",,,,
Gorilla Snax,Carpenter Farms,,β-Myrcene,Limonene,β-Pinene,β-Caryophyllene,Guaiol,https://drive.google.com/file/d/1V28HAeU0he5h8uQQEaV89ynqXucINPX_/view,,,,,,
Gush Mints,River Valley Relief,,Limonene,β-Caryophyllene,Linalool,α-Humulene,β-Pinene,https://rivervalleyrelief.com/flower/gush-mints/,,,,,,
Gypsy Jax,Natural State Medicinals,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,Linalool,https://bit.ly/4h1OkYe,,,,,,
Gypsy Jax,,50/50 H,β-Myrcene,β-Caryophyllene,Limonene,,,,"Alleviating symptoms of stress, anxiety, and mild pain, offering both mental and physical relief.","Discover the exceptional Gypsy Jax, a hybrid strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating gasoline and berry aroma, while the flavor delights with a fusion of fuel and sweet berries. Ideal for those seeking a versatile experience, Gypsy Jax offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.","Expect a balanced hybrid effect, delivering an initial euphoric uplift followed by a soothing relaxation, making it suitable for both daytime and evening use.","This strain emits a pungent aroma dominated by heavy gasoline notes complemented by undertones of berries, creating a robust and enticing scent profile. ","Gypsy Jax offers a rich blend of fuel-like flavors intertwined with sweet berry nuances, providing a complex and satisfying taste experience.",Old Dirty Biker x Cereal Milk
Hash Plant,Bold,Indica,β-Caryophyllene,Pinene,Linalool,,,,,"Bred by Sensi Seeds, Hash Plant is known for her short growing span, aroma and special genetic lineage. As one of the original indica genetics widely available on the international scene, Hash Plant will delight patients both old and new. Experience one of the building blocks of modern commercial cannabis",,,,
Head Dog,Carpenter Farms,,Limonene,β-Caryophyllene,3-Carene,cis-β-Ocimene,α-Humulene,https://drive.google.com/file/d/1vatBoSeS34rsO6yqgKhG6v66rurf023X/view,,,,,,
Headband Cookies,Bold,Indica Dominant Hybrid,β-Caryophyllene,Limonene,α-Humulene,,,,,"Bred by Ethos Genetics out of Denver Colorado, Headband Cookies is a polyhybrid mix of all its parents best parts. Headband Cookies is a potent mix of (ChemD X i95 ) X Mandarin Cookies (Headband Cookies X i95) X California Black Roze. Certainly a mouthful, this mix will give you a full cerebral high, with minty earthy smells and taste.",,,,
Heavy Cream,Bold,Indica Dominant Hybrid,β-Caryophyllene,β-Myrcene,α-Humulene,,,,,"Bred by Free World Genetics, Heavy Cream, smells like you’re walking through an orange orchard. This is no surprise because its parents are Orangino 2.6 X Creamsicle OG. Free World Genetics themselves best describe the buds as “Chemy Citrus Cream”",,,,
